"Census Profile, 2021 Census of Population"
,,,"Toronto, City (C) [Census subdivision], Ontario",,
,,,"Counts",,
"Topic","Characteristic","Note","Total","Total_Flag",
"Population and dwellings","Population, 2021",1,2794356,"",
"Population and dwellings","Population, 2016",1,2731571,"",
"Population and dwellings","Population percentage change, 2016 to 2021",,    2.3,"",
"Population and dwellings","Total private dwellings",2,1253238,"",
"Population and dwellings","Private dwellings occupied by usual residents",3,1160892,"",
"Population and dwellings","Population density per square kilometre",, 4427.8,"",
"Population and dwellings","Land area in square kilometres",,  631.10,"",
"Age characteristics","Total - Age groups of the population - 100% data",,2794355,"",
"Age characteristics","  0 to 14 years",,384295,"",
"Age characteristics","    0 to 4 years",,123550,"",
"Age characteristics","    5 to 9 years",,129040,"",
"Age characteristics","    10 to 14 years",,131710,"",
"Age characteristics","  15 to 64 years",,1933075,"",
"Age characteristics","    15 to 19 years",,134810,"",
"Age characteristics","    20 to 24 years",,185650,"",
"Age characteristics","    25 to 29 years",,243955,"",
"Age characteristics","    30 to 34 years",,246785,"",
"Age characteristics","    35 to 39 years",,213810,"",
"Age characteristics","    40 to 44 years",,185820,"",
"Age characteristics","    45 to 49 years",,175875,"",
"Age characteristics","    50 to 54 years",,184060,"",
"Age characteristics","    55 to 59 years",,191380,"",
"Age characteristics","    60 to 64 years",,170935,"",
"Age characteristics","  65 years and over",,476985,"",
"Age characteristics","    65 to 69 years",,141550,"",
"Age characteristics","    70 to 74 years",,118910,"",
"Age characteristics","    75 to 79 years",, 81880,"",
"Age characteristics","    80 to 84 years",, 62790,"",
"Age characteristics","    85 years and over",, 71855,"",
"Age characteristics","      85 to 89 years",, 42430,"",
"Age characteristics","      90 to 94 years",, 22155,"",
"Age characteristics","      95 to 99 years",,  6400,"",
"Age characteristics","      100 years and over",,   875,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",
"Age characteristics","  0 to 14 years",,   13.8,"",
"Age characteristics","  15 to 64 years",,   69.2,"",
"Age characteristics","  65 years and over",,   17.1,"",
"Age characteristics","    85 years and over",,    2.6,"",
"Age characteristics","Average age of the population",,   41.5,"",
"Age characteristics","Median age of the population",,   39.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,1160890,"",
"Household and dwelling characteristics","  Single-detached house",,270490,"",
"Household and dwelling characteristics","  Semi-detached house",, 71955,"",
"Household and dwelling characteristics","  Row house",, 62915,"",
"Household and dwelling characteristics","  Apartment or flat in a duplex",, 47810,"",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,162245,"",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,542625,"",
"Household and dwelling characteristics","  Other single-attached house",,  2770,"",
"Household and dwelling characteristics","  Movable dwelling",4,    85,"",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,1160895,"",
"Household and dwelling characteristics","  1 person",,385765,"",
"Household and dwelling characteristics","  2 persons",,353415,"",
"Household and dwelling characteristics","  3 persons",,178225,"",
"Household and dwelling characteristics","  4 persons",,147360,"",
"Household and dwelling characteristics","  5 or more persons",, 96120,"",
"Household and dwelling characteristics","Number of persons in private households",,2761285,"",
"Household and dwelling characteristics","Average household size",,    2.4,"",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,2410060,"",
"Marital status","  Married or living common-law",,1213410,"",
"Marital status","    Married",,1020980,"",
"Marital status","    Living common-law",,192430,"",
"Marital status","      Living common law - Never married",,155085,"",
"Marital status","      Living common law - Separated",,  5745,"",
"Marital status","      Living common law - Divorced",, 29020,"",
"Marital status","      Living common law - Widowed",,  2580,"",
"Marital status","  Not married and not living common-law",,1196645,"",
"Marital status","    Not married and not living common law - Never married",,853580,"",
"Marital status","    Not married and not living common law - Separated",, 67320,"",
"Marital status","    Not married and not living common law - Divorced",,154535,"",
"Marital status","    Not married and not living common law - Widowed",,121210,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5,733225,"",
"Family characteristics","  2 persons",,362160,"",
"Family characteristics","  3 persons",,174070,"",
"Family characteristics","  4 persons",,141635,"",
"Family characteristics","  5 or more persons",, 55360,"",
"Family characteristics","Average size of census families",,    2.9,"",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",
"Family characteristics","Total number of census families in private households - 100% data",,733220,"",
"Family characteristics","  Total couple families",,580590,"",
"Family characteristics","    Married couples",,484435,"",
"Family characteristics","      With children",6,288375,"",
"Family characteristics","      Without children",,196060,"",
"Family characteristics","    Common-law couples",, 96155,"",
"Family characteristics","      With children",6, 24805,"",
"Family characteristics","      Without children",, 71350,"",
"Family characteristics","  Total one-parent families",,152635,"",
"Family characteristics","    in which the parent is a woman+",,127560,"",
"Family characteristics","    in which the parent is a man+",, 25075,"",
"Family characteristics","Total - Persons in private households - 100% data",,2761290,"",
"Family characteristics","  Total - Persons in census families",,2108975,"",
"Family characteristics","    Married spouses or common-law partners",,1161175,"",
"Family characteristics","    Parents in one-parent families",,152635,"",
"Family characteristics","    Children",6,795165,"",
"Family characteristics","      In a two-parent family",,560345,"",
"Family characteristics","      In a one-parent family",,234820,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",,652310,"",
"Family characteristics","    Living alone",,385765,"",
"Family characteristics","    Living with other relatives",7, 93005,"",
"Family characteristics","    Living with non-relatives only",,173540,"",
"Household type","Total - Household type - 100% data",,1160895,"",
"Household type","  One-census-family households without additional persons",,608930,"",
"Household type","    Couple-family households",,493770,"",
"Household type","      With children",6,265950,"",
"Household type","      Without children",,227825,"",
"Household type","    One-parent-family households",,115160,"",
"Household type","  Multigenerational households",8, 40515,"",
"Household type","  Multiple-census-family households",9,  9920,"",
"Household type","  One-census-family households with additional persons",9, 41030,"",
"Household type","  Two-or-more-person non-census-family households ",, 74730,"",
"Household type","  One-person households",,385765,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,2377950,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,2267990,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 39200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,2268960,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 36000,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,1971475,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 35600,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,1628895,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 38800,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,2073950,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8500,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,215780,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5560,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",,751475,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,2377950,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,2268720,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 62050,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,2269665,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 49080,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,1972460,"",
